,전출지별,전입지별,2017_x,2018_x,2019_x,2020_x,2021_x,거리,전입지 면적,2017_y,2018_y,2019_y,2020_y,2021_y,2017,2018,2019,2020,2021
136,강원도,경기도,27656,29402,27835,28504,28284,141.8273577,10196731503,12873895,13077153,13239666,13427014,13565450,1550142,1543052,1541502,1542840,1538492
137,강원도,충청북도,4764,4650,4457,4217,4417,94.34937035,7406988695,1594432,1599252,1600007,1600837,1597427,1550142,1543052,1541502,1542840,1538492
138,강원도,충청남도,3645,3373,2996,3299,3499,164.1032625,8246960405,2116770,2126282,2123709,2121029,2119257,1550142,1543052,1541502,1542840,1538492
139,강원도,전라북도,1378,1289,1190,1281,1280,187.4839061,8072147335,1854607,1836832,1818917,1804104,1786855,1550142,1543052,1541502,1542840,1538492
140,강원도,전라남도,1405,1290,1512,1313,1268,233.3616865,12358940175,1896424,1882970,1868745,1851549,1832803,1550142,1543052,1541502,1542840,1538492
141,강원도,경상북도,3587,3361,3224,2958,3245,118.8544285,19034795138,2691706,2676831,2665836,2639422,2626609,1550142,1543052,1541502,1542840,1538492
142,강원도,경상남도,2312,2192,2078,2268,2175,173.581565,10541895014,3380404,3373988,3362553,3340216,3314183,1550142,1543052,1541502,1542840,1538492
143,강원도,제주특별자치도,945,935,786,797,808,344.3771657,1850278724,657083,667191,670989,674635,676759,1550142,1543052,1541502,1542840,1538492
144,충청북도,서울특별시,12961,13783,13806,14574,13521,90.788624,605243961.2,9857426,9765623,9729107,9668465,9509458,1594432,1599252,1600007,1600837,1597427
145,충청북도,부산광역시,1660,1406,1470,1616,1581,192.0757057,770170750.8,3470653,3441453,3413841,3391946,3350380,1594432,1599252,1600007,1600837,1597427
146,충청북도,대구광역시,1443,1450,1530,1548,1600,120.0841883,883698218.6,2475231,2461769,2438031,2418346,2385412,1594432,1599252,1600007,1600837,1597427
147,충청북도,인천광역시,3416,3394,3463,3385,3372,117.2261431,1066465187,2948542,2954642,2957026,2942828,2948375,1594432,1599252,1600007,1600837,1597427
148,충청북도,광주광역시,680,729,798,769,864,136.4541884,501113181.6,1463770,1459336,1456468,1450062,1441611,1594432,1599252,1600007,1600837,1597427
149,충청북도,대전광역시,8014,7905,7866,8343,8682,37.72433475,539503587.6,1502227,1489936,1474870,1463882,1452251,1594432,1599252,1600007,1600837,1597427
150,충청북도,울산광역시,633,576,669,688,715,205.3345892,1062327677,1165132,1155623,1148019,1136017,1121592,1594432,1599252,1600007,1600837,1597427
151,충청북도,세종특별자치시,6270,5978,4948,5261,5277,42.67579926,464918346.3,280100,314126,340575,355831,371895,1594432,1599252,1600007,1600837,1597427
152,충청북도,경기도,19833,20949,21135,22133,22647,85.57394012,10196731503,12873895,13077153,13239666,13427014,13565450,1594432,1599252,1600007,1600837,1597427
153,충청북도,강원도,4581,4089,4489,4615,4627,94.34937035,16829671465,1550142,1543052,1541502,1542840,1538492,1594432,1599252,1600007,1600837,1597427
154,충청북도,충청남도,6387,6087,6182,6817,6742,79.6904995,8246960405,2116770,2126282,2123709,2121029,2119257,1594432,1599252,1600007,1600837,1597427
155,충청북도,전라북도,1770,1696,1775,1883,1961,93.14271592,8072147335,1854607,1836832,1818917,1804104,1786855,1594432,1599252,1600007,1600837,1597427
156,충청북도,전라남도,1232,1133,1168,1474,1266,141.9428933,12358940175,1896424,1882970,1868745,1851549,1832803,1594432,1599252,1600007,1600837,1597427
